,Tweet,target,tokenized_tweet,cleaned_tweet
1462,damha rzin,-1,damha rzin,"['damha', 'rzin']"
1463,جمال وصوت راءع وثقة بالنفس عجتني برشا ربي يوفقك اميمة,1,جمال وصوت راءع وثقة بالنفس عجتني برشا ربي يوفقك اميمة,"['جمال', 'وصوت', 'راءع', 'وثقة', 'بالنفس', 'عجتني', 'برشا', 'ربي', 'يوفقك', 'اميمة']"
1465,ممسطو مخيب صوتو -_-,-1,ممسطو مخيب صوتو,"['ممسطو', 'مخيب', 'صوتو']"
1466,"Mra mthaqfa taerff chtahki nhtarem maweqefha raouim eli manwefqhech,",1,mra mthaqfa taerff chtahki nhtarem maweqefha raouim eli manwefqhech,"['mra', 'mthaqfa', 'taerff', 'chtahki', 'nhtarem', 'maweqefha', 'raouim', 'eli', 'manwefqhech']"
1467,الشيب العيب كنت تنجم تلطفها الكلمة كرمك الله,-1,الشيب العيب كنت تنجم تلطفها الكلمة كرمك الله,"['الشيب', 'العيب', 'كنت', 'تنجم', 'تلطفها', 'الكلمة', 'كرمك', 'الله']"
1468,Braavooo wlh rajel,1,braavooo wlh rajel,"['braavooo', 'wlh', 'rajel']"
1469,معلم ومايرشفها لحد,1,معلم ومايرشفها لحد,"['معلم', 'ومايرشفها', 'لحد']"
1470,يعنبو مقداد يتمزا بلطي وووووووه,-1,يعنبو مقداد يتمزا بلطي وووووووه,"['يعنبو', 'مقداد', 'يتمزا', 'بلطي', 'وووه']"
1471,حصة راقية بأتم معنا الكلمة ريم زادتها رقي برافو,1,حصة راقية بأتم معنا الكلمة ريم زادتها رقي برافو,"['حصة', 'راقية', 'بأتم', 'معنا', 'الكلمة', 'ريم', 'زادتها', 'رقي', 'برافو']"
1472,Hhh wahdk karim,1,hhh wahdk karim,"['hhh', 'wahdk', 'karim']"
1473,Mêla wahra yebou eli yekrhkom,1,la wahra yebou eli yekrhkom,"['la', 'wahra', 'yebou', 'eli', 'yekrhkom']"
1474,هههه المعلم احنا منك نتعلم Chapo liik ;) <e,1,هههه المعلم احنا منك نتعلم,"['ههه', 'المعلم', 'احنا', 'منك', 'نتعلم']"
1475,جعفور غالي، إنتي الوحيد تخدم وتفدلك بنيتك ومتخدمش مخك محلا تلقإية متاعك,1,جعفور غالي إنتي الوحيد تخدم وتفدلك بنيتك ومتخدمش مخك محلا تلقإية متاعك,"['جعفور', 'غالي', 'إنتي', 'الوحيد', 'تخدم', 'وتفدلك', 'بنيتك', 'ومتخدمش', 'مخك', 'محلا', 'تلقإية', 'متاعك']"
1476,Chaeb monafqin tfih,-1,chaeb monafqin tfih,"['chaeb', 'monafqin', 'tfih']"
1478,Blid blid! Rkik!,-1,blid blid rkik,"['blid', 'blid', 'rkik']"
1480,Kyyyyyyyyt y'a kouya marznou chkoun houwa akber dawer kdhah,-1,kyyyyyyyyt ' kouya marznou chkoun houwa akber dawer kdhah,"['kyyyyyyyyt', ""'"", 'kouya', 'marznou', 'chkoun', 'houwa', 'akber', 'dawer', 'kdhah']"
1481,محلااااها..نحبها برشا منورة كلام الناس,1,محلااااها نحبها برشا منورة كلام الناس,"['محلاااها', 'نحبها', 'برشا', 'منورة', 'كلام', 'الناس']"
1483,Wahdek sami barvo,1,wahdek sami barvo,"['wahdek', 'sami', 'barvo']"
1484,tmaredh bel coulira -_-,-1,tmaredh bel coulira,"['tmaredh', 'bel', 'coulira']"
1487,سؤال بليد,-1,سؤال بليد,"['سؤال', 'بليد']"
1488,تجمعي طحاااااااان,-1,تجمعي طحاااااااان,"['تجمعي', 'طحااان']"
1489,حلقة عالمية,1,حلقة عالمية,"['حلقة', 'عالمية']"
1490,Welh mealma,1,welh mealma,"['welh', 'mealma']"
1491,Mealem wakahaw,1,mealem wakahaw,"['mealem', 'wakahaw']"
1492,احسن تونسي العالم,1,احسن تونسي العالم,"['احسن', 'تونسي', 'العالم']"
1493,Bravo jaefour wassil wlh akthér moumathil yéejébni nchalah dima haka rabi mnawér étalifza btaltik,1,bravo jaefour wassil wlh akth moumathil ej bni nchalah dima haka rabi mnaw talifza btaltik,"['bravo', 'jaefour', 'wassil', 'wlh', 'akth', 'moumathil', 'ej', 'bni', 'nchalah', 'dima', 'haka', 'rabi', 'mnaw', 'talifza', 'btaltik']"
1494,جعفور معلم كوميدي محترف خدام زيد محبوب ربي معاك ❤,1,جعفور معلم كوميدي محترف خدام زيد محبوب ربي معاك,"['جعفور', 'معلم', 'كوميدي', 'محترف', 'خدام', 'زيد', 'محبوب', 'ربي', 'معاك']"
1495,emealem hagha malike coumedya houwa jaefoura b1 rabi iwafqik :* :*,1,emealem hagha malike coumedya houwa jaefoura rabi iwafqik,"['emealem', 'hagha', 'malike', 'coumedya', 'houwa', 'jaefoura', 'rabi', 'iwafqik']"
1497,هكا نتفاهمو رجل رجل رجل إحترامتي,1,هكا نتفاهمو رجل رجل رجل إحترامتي,"['هكا', 'نتفاهمو', 'رجل', 'رجل', 'رجل', 'إحترامتي']"
1498,Wahdek mealem nheb ouineyetek elkol,1,wahdek mealem nheb ouineyetek elkol,"['wahdek', 'mealem', 'nheb', 'ouineyetek', 'elkol']"
1499,Becha Becha Becha,1,becha becha becha,"['becha', 'becha', 'becha']"
1500,Mealem jaefer,1,mealem jaefer,"['mealem', 'jaefer']"
1503,mala hala tfouhhhhhhhhhhhhhhhhhhh,-1,mala hala tfouhhhhhhhhhhhhhhhhhhh,"['mala', 'hala', 'tfouhhhhhhhhhhhhhhhhhhh']"
1504,mala wahra fik jaefour rabi ykather menek,1,mala wahra fik jaefour rabi ykather menek,"['mala', 'wahra', 'fik', 'jaefour', 'rabi', 'ykather', 'menek']"
1505,زرعلنا البسمة الفرحة صغرنا,1,زرعلنا البسمة الفرحة صغرنا,"['زرعلنا', 'البسمة', 'الفرحة', 'صغرنا']"
1507,برجولية ماسطة وكثر العسل يمساط,-1,برجولية ماسطة وكثر العسل يمساط,"['برجولية', 'ماسطة', 'وكثر', 'العسل', 'يمساط']"
1509,Mahla zinekkkkkkk,1,mahla zinekkkkkkk,"['mahla', 'zinekkkkkkk']"
1512,Mahlhoum lkhweet kii haka <e faza tbakii,1,mahlhoum lkhweet kii haka faza tbakii,"['mahlhoum', 'lkhweet', 'kii', 'haka', 'faza', 'tbakii']"
1513,نعرفهاش عملت مداخلة باهية يعطيها صحة,1,نعرفهاش عملت مداخلة باهية يعطيها صحة,"['نعرفهاش', 'عملت', 'مداخلة', 'باهية', 'يعطيها', 'صحة']"
1514,حلقة معجبتنيش برشة مافيهاش اضافات كبيرة بصراحة,-1,حلقة معجبتنيش برشة مافيهاش اضافات كبيرة بصراحة,"['حلقة', 'معجبتنيش', 'برشة', 'مافيهاش', 'اضافات', 'كبيرة', 'بصراحة']"
1515,ouuuuuh ech nekerhouuuu yesser yekel dhaww hhhhh,-1,ouuuuuh ech nekerhouuuu yesser yekel dhaww hhhhh,"['ouuuuuh', 'ech', 'nekerhouuuu', 'yesser', 'yekel', 'dhaww', 'hhhhh']"
1516,راك ماسط راك لاسط,-1,راك ماسط راك لاسط,"['راك', 'ماسط', 'راك', 'لاسط']"
1517,"مثقف بودورو . ممثل فاشل راك مقزز""",-1,مثقف بودورو ممثل فاشل راك مقزز,"['مثقف', 'بودورو', 'ممثل', 'فاشل', 'راك', 'مقزز']"
1519,مريومة معبودتي الجماهير Mechala eelihe Bravo wallah tiejibni moumthla hathi barcha iqwiya mrigel :D شاءالله حسن :* <e أحسن,1,مريومة معبودتي الجماهير شاءالله حسن أحسن,"['مريومة', 'معبودتي', 'الجماهير', 'شاءالله', 'حسن', 'أحسن']"
1520,boulissia klab,-1,boulissia klab,"['boulissia', 'klab']"
1521,Yeziini brebii chnya hal ham mamsthoum aman chbiha manel hkika meankcha fih tqoul far makhyebha Mamstha ohhh,-1,yeziini brebii chnya hal ham mamsthoum aman chbiha manel hkika meankcha fih tqoul far makhyebha mamstha ohhh,"['yeziini', 'brebii', 'chnya', 'hal', 'ham', 'mamsthoum', 'aman', 'chbiha', 'manel', 'hkika', 'meankcha', 'fih', 'tqoul', 'far', 'makhyebha', 'mamstha', 'ohhh']"
1522,Ena nhebha,1,ena nhebha,"['ena', 'nhebha']"
1523,oooh mealem,1,oooh mealem,"['oooh', 'mealem']"
1524,ltawa mafhemtech elach tjibou fih .karakouz,-1,ltawa mafhemtech elach tjibou fih karakouz,"['ltawa', 'mafhemtech', 'elach', 'tjibou', 'fih', 'karakouz']"
1526,brabi ness illi ynabrou ela lotfi nqolhom artehou ouiir ouslou aemlou rboe illi eamlou houwa ... lotfi rak mealem,1,brabi ness illi ynabrou ela lotfi nqolhom artehou ouiir ouslou aemlou rboe illi eamlou houwa lotfi rak mealem,"['brabi', 'ness', 'illi', 'ynabrou', 'ela', 'lotfi', 'nqolhom', 'artehou', 'ouiir', 'ouslou', 'aemlou', 'rboe', 'illi', 'eamlou', 'houwa', 'lotfi', 'rak', 'mealem']"
1527,والله الكلب حاشاكم افظل وأشرف هالوقح الرهط المدعو الجويني,-1,والله الكلب حاشاكم افظل وأشرف هالوقح الرهط المدعو الجويني,"['والله', 'الكلب', 'حاشاكم', 'افظل', 'وأشرف', 'هالوقح', 'الرهط', 'المدعو', 'الجويني']"
1528,اللعنة كلب,-1,اللعنة كلب,"['اللعنة', 'كلب']"
1529,machaaa allah,1,machaaa allah,"['machaaa', 'allah']"
1531,rak masta,-1,rak masta,"['rak', 'masta']"
1532,الحجرة متذوب ليلي القحبة متوب!!,-1,الحجرة متذوب ليلي القحبة متوب,"['الحجرة', 'متذوب', 'ليلي', 'القحبة', 'متوب']"
1533,Ena bekri makenitech taejibni ama berah eejbetni zin ein torobya rzinna,1,ena bekri makenitech taejibni ama berah eejbetni zin ein torobya rzinna,"['ena', 'bekri', 'makenitech', 'taejibni', 'ama', 'berah', 'eejbetni', 'zin', 'ein', 'torobya', 'rzinna']"
1534,mateejebnich bsaraha marga barcha taemali jayer efffffff,-1,mateejebnich bsaraha marga barcha taemali jayer efffffff,"['mateejebnich', 'bsaraha', 'marga', 'barcha', 'taemali', 'jayer', 'efffffff']"
1535,مشاء الله,1,مشاء الله,"['مشاء', 'الله']"
1536,Malla emmarek mgallba,-1,malla emmarek mgallba,"['malla', 'emmarek', 'mgallba']"
1537,منافقين زايد >:(,-1,منافقين زايد,"['منافقين', 'زايد']"
1538,Allah ahad,1,allah ahad,"['allah', 'ahad']"
1539,مستوى المسلسلات أزيد الفساد البلاد,-1,مستوى المسلسلات أزيد الفساد البلاد,"['مستوى', 'المسلسلات', 'أزيد', 'الفساد', 'البلاد']"
1540,:* :* :* :* :* :* beravou meryouwm,1,beravou meryouwm,"['beravou', 'meryouwm']"
1541,جعفور روعه روعه روعه روعه روعه روعه روعه روعه روعه يارب تحميه اتخليه حسن الصدف اتقبلت معاه انسان بمعنى الكلمة شاء الله حسن احسن امين يارب العالمين,1,جعفور روعه روعه روعه روعه روعه روعه روعه روعه روعه يارب تحميه اتخليه حسن الصدف اتقبلت معاه انسان بمعنى الكلمة شاء الله حسن احسن امين يارب العالمين,"['جعفور', 'روعه', 'روعه', 'روعه', 'روعه', 'روعه', 'روعه', 'روعه', 'روعه', 'روعه', 'يارب', 'تحميه', 'اتخليه', 'حسن', 'الصدف', 'اتقبلت', 'معاه', 'انسان', 'بمعنى', 'الكلمة', 'شاء', 'الله', 'حسن', 'احسن', 'امين', 'يارب', 'العالمين']"
1542,brabi laead djibouhlna haka avocat makhlouf hala bkol saraha,-1,brabi laead djibouhlna haka avocat makhlouf hala bkol saraha,"['brabi', 'laead', 'djibouhlna', 'haka', 'avocat', 'makhlouf', 'hala', 'bkol', 'saraha']"
1544,يعيش بتفهات لانه ببساطة تافه,-1,يعيش بتفهات لانه ببساطة تافه,"['يعيش', 'بتفهات', 'لانه', 'ببساطة', 'تافه']"
1545,ممسطكم... هذي حرية التعبير تحكيو علاها؟؟؟ الحر يعرف حدودو ...,-1,ممسطكم هذي حرية التعبير تحكيو علاها الحر يعرف حدودو,"['ممسطكم', 'هذي', 'حرية', 'التعبير', 'تحكيو', 'علاها', 'الحر', 'يعرف', 'حدودو']"
1547,rak masset rak lasset,-1,rak masset rak lasset,"['rak', 'masset', 'rak', 'lasset']"
1548,Rabi yeinek jaafour behi,1,rabi yeinek jaafour behi,"['rabi', 'yeinek', 'jaafour', 'behi']"
1549,احلى النساء محلى ضحكتها هذي النساء برسمي اناقه عقوليه وتربيه وزين,1,احلى النساء محلى ضحكتها هذي النساء برسمي اناقه عقوليه وتربيه وزين,"['احلى', 'النساء', 'محلى', 'ضحكتها', 'هذي', 'النساء', 'برسمي', 'اناقه', 'عقوليه', 'وتربيه', 'وزين']"
1551,آللحاس لطفي لعماري بدلو وجيب راجل,-1,آللحاس لطفي لعماري بدلو وجيب راجل,"['آللحاس', 'لطفي', 'لعماري', 'بدلو', 'وجيب', 'راجل']"
1552,ماسطة لاسطة ملايكتها رزينة انتم!!!,-1,ماسطة لاسطة ملايكتها رزينة انتم,"['ماسطة', 'لاسطة', 'ملايكتها', 'رزينة', 'انتم']"
1553,ممسطوووو مبلدوو مخيبووو,-1,ممسطوووو مبلدوو مخيبووو,"['ممسطووو', 'مبلدوو', 'مخيبووو']"
1555,راك ماسطة،راك لاسطة...🎤,-1,راك ماسطة راك لاسطة,"['راك', 'ماسطة', 'راك', 'لاسطة']"
1556,Thabel seea,1,thabel seea,"['thabel', 'seea']"
1557,maset laset mayeejebnich damou thqiiiiiiiil hhh,-1,maset laset mayeejebnich damou thqiiiiiiiil hhh,"['maset', 'laset', 'mayeejebnich', 'damou', 'thqiiiiiiiil', 'hhh']"
1559,مورو معلللللللللللم,1,مورو معلللللللللللم,"['مورو', 'معلللم']"
1561,مااااااااا سط,-1,مااااااااا سط,"['مااا', 'سط']"
1562,Oui ejbni ealekher bravoooo #Sami,1,oui ejbni ealekher bravoooo sami,"['oui', 'ejbni', 'ealekher', 'bravoooo', 'sami']"
1563,yesser tetsannae baya,-1,yesser tetsannae baya,"['yesser', 'tetsannae', 'baya']"
1564,امسطكم اغباكم كلكم تفاهة ومساطة,-1,امسطكم اغباكم كلكم تفاهة ومساطة,"['امسطكم', 'اغباكم', 'كلكم', 'تفاهة', 'ومساطة']"
1565,للاسف وصل اليه الاسلام والمسلمين بلد يدعي الاسلام دينه عيب وعاااااار عليكم تتناولو هاته المواضيع الدنيئة قناتكم مرة تخرج باشكل جديدة مرة تدعون دكتور محمد الطالبي يحلل الخمر والزنا ومرة الطاهر حسين يحلل الخمر وزد موضوع المثلية للاسف اصبحنا نناقش هاته المواضيع علنا بداعي الحرية حرية تتكلمون عنها شاطرين معاندة الغرب المواضيع التافهة اخذنا القشور وتركنا اللب فائدة عمرها الحرية بهذا الشكل الوضيع,-1,للاسف وصل اليه الاسلام والمسلمين بلد يدعي الاسلام دينه عيب وعاااااار عليكم تتناولو هاته المواضيع الدنيئة قناتكم مرة تخرج باشكل جديدة مرة تدعون دكتور محمد الطالبي يحلل الخمر والزنا ومرة الطاهر حسين يحلل الخمر وزد موضوع المثلية للاسف اصبحنا نناقش هاته المواضيع علنا بداعي الحرية حرية تتكلمون عنها شاطرين معاندة الغرب المواضيع التافهة اخذنا القشور وتركنا اللب فائدة عمرها الحرية بهذا الشكل الوضيع,"['للاسف', 'وصل', 'اليه', 'الاسلام', 'والمسلمين', 'بلد', 'يدعي', 'الاسلام', 'دينه', 'عيب', 'وعااار', 'عليكم', 'تتناولو', 'هاته', 'المواضيع', 'الدنيئة', 'قناتكم', 'مرة', 'تخرج', 'باشكل', 'جديدة', 'مرة', 'تدعون', 'دكتور', 'محمد', 'الطالبي', 'يحلل', 'الخمر', 'والزنا', 'ومرة', 'الطاهر', 'حسين', 'يحلل', 'الخمر', 'وزد', 'موضوع', 'المثلية', 'للاسف', 'اصبحنا', 'نناقش', 'هاته', 'المواضيع', 'علنا', 'بداعي', 'الحرية', 'حرية', 'تتكلمون', 'عنها', 'شاطرين', 'معاندة', 'الغرب', 'المواضيع', 'التافهة', 'اخذنا', 'القشور', 'وتركنا', 'اللب', 'فائدة', 'عمرها', 'الحرية', 'بهذا', 'الشكل', 'الوضيع']"
1568,"ماللخر راك انسان بوهالي تعمل Buzz ماهوش راجع ود""",-1,ماللخر راك انسان بوهالي تعمل ماهوش راجع ود,"['ماللخر', 'راك', 'انسان', 'بوهالي', 'تعمل', 'ماهوش', 'راجع', 'ود']"
1569,Hhhhhhh Sami,1,hhhhhhh sami,"['hhhhhhh', 'sami']"
1570,Mnayek rohou,-1,mnayek rohou,"['mnayek', 'rohou']"
1572,عسل ومحلاه احنا مازلنا تعودناش برافوا امين,1,عسل ومحلاه احنا مازلنا تعودناش برافوا امين,"['عسل', 'ومحلاه', 'احنا', 'مازلنا', 'تعودناش', 'برافوا', 'امين']"
1574,يعطك داء منظرك خول وسخ,-1,يعطك داء منظرك خول وسخ,"['يعطك', 'داء', 'منظرك', 'خول', 'وسخ']"
1575,تحيفة قداش تحكي تبارك الله,1,تحيفة قداش تحكي تبارك الله,"['تحيفة', 'قداش', 'تحكي', 'تبارك', 'الله']"
1576,baykhaaa dgaeeed,-1,baykhaaa dgaeeed,"['baykhaaa', 'dgaeeed']"
1577,Chabea fsed khmaj tfouhh,-1,chabea fsed khmaj tfouhh,"['chabea', 'fsed', 'khmaj', 'tfouhh']"
1578,لعنة الله عليكم .. مفسدين كلاب .. تخيبوا رهوطكم حاسبين الشعب ظحكة شياطين ..,-1,لعنة الله عليكم مفسدين كلاب تخيبوا رهوطكم حاسبين الشعب ظحكة شياطين,"['لعنة', 'الله', 'عليكم', 'مفسدين', 'كلاب', 'تخيبوا', 'رهوطكم', 'حاسبين', 'الشعب', 'ظحكة', 'شياطين']"
1581,أقسم بالله أمسط منو ريت. نحب نقلو حاجة يتفكرها طول عمرو. والله عمرو باش ينجح الفكاهة. اخيييييت,-1,أقسم بالله أمسط منو ريت نحب نقلو حاجة يتفكرها طول عمرو والله عمرو باش ينجح الفكاهة اخيييييت,"['أقسم', 'بالله', 'أمسط', 'منو', 'ريت', 'نحب', 'نقلو', 'حاجة', 'يتفكرها', 'طول', 'عمرو', 'والله', 'عمرو', 'باش', 'ينجح', 'الفكاهة', 'اخيييت']"
1584,Mala wahra mala zen mala thakafa .machallah abharna bsaraha.tbarkallah nour Chiba,1,mala wahra mala zen mala thakafa machallah abharna bsaraha tbarkallah nour chiba,"['mala', 'wahra', 'mala', 'zen', 'mala', 'thakafa', 'machallah', 'abharna', 'bsaraha', 'tbarkallah', 'nour', 'chiba']"
1585,امرأة تفرض احترامها.,1,امرأة تفرض احترامها,"['امرأة', 'تفرض', 'احترامها']"
1586,Karim meallim,1,karim meallim,"['karim', 'meallim']"
1587,طحان سامي,-1,طحان سامي,"['طحان', 'سامي']"
1588,Mahlehoum likhwet ki yeqfou mea beathoum nchalah titealim mousalslet :),1,mahlehoum likhwet ki yeqfou mea beathoum nchalah titealim mousalslet,"['mahlehoum', 'likhwet', 'ki', 'yeqfou', 'mea', 'beathoum', 'nchalah', 'titealim', 'mousalslet']"
1589,حلقة مميّزة,1,حلقة ممي زة,"['حلقة', 'ممي', 'زة']"
1590,Kalb kbir,-1,kalb kbir,"['kalb', 'kbir']"
1591,Mawhra dema tabqa saouiera,1,mawhra dema tabqa saouiera,"['mawhra', 'dema', 'tabqa', 'saouiera']"
1592,نور شيبا راك تهبل كلكم بصراحة تهبلو,1,نور شيبا راك تهبل كلكم بصراحة تهبلو,"['نور', 'شيبا', 'راك', 'تهبل', 'كلكم', 'بصراحة', 'تهبلو']"
1593,احلى جعفور,1,احلى جعفور,"['احلى', 'جعفور']"
1594,بصراحه المخلوق زاد اكدلي اللي جماعة الجنوب ناس طيبه راقيه موش لفت العبدلي البلاده الصياح البلاتوهات,1,بصراحه المخلوق زاد اكدلي اللي جماعة الجنوب ناس طيبه راقيه موش لفت العبدلي البلاده الصياح البلاتوهات,"['بصراحه', 'المخلوق', 'زاد', 'اكدلي', 'اللي', 'جماعة', 'الجنوب', 'ناس', 'طيبه', 'راقيه', 'موش', 'لفت', 'العبدلي', 'البلاده', 'الصياح', 'البلاتوهات']"
1595,Tayaaaaaaaaara chekhna dhohk,1,tayaaaaaaaaara chekhna dhohk,"['tayaaaaaaaaara', 'chekhna', 'dhohk']"
1596,tahhan kbir,-1,tahhan kbir,"['tahhan', 'kbir']"
1597,فنك يعجبني صوت تبارك الله …,1,فنك يعجبني صوت تبارك الله,"['فنك', 'يعجبني', 'صوت', 'تبارك', 'الله']"
1598,maaaaaaaaaaaaaset yjich mounachet,-1,maaaaaaaaaaaaaset yjich mounachet,"['maaaaaaaaaaaaaset', 'yjich', 'mounachet']"
1599,علة راك بية,-1,علة راك بية,"['علة', 'راك', 'بية']"
1601,كافون معلم يغني مزاطيل شق شق حوماني موش عاجبو يضرب راسو الحيط,1,كافون معلم يغني مزاطيل شق شق حوماني موش عاجبو يضرب راسو الحيط,"['كافون', 'معلم', 'يغني', 'مزاطيل', 'شق', 'شق', 'حوماني', 'موش', 'عاجبو', 'يضرب', 'راسو', 'الحيط']"
1602,W sami barvo barvo barvo,1,sami barvo barvo barvo,"['sami', 'barvo', 'barvo', 'barvo']"
1603,Bou zink bint bled nchalla lmaraa jeya terbah sfax hmd rabi,1,bou zink bint bleed nchalla lmaraa jeya terbah sfax hmd rabi,"['bou', 'zink', 'bint', 'bleed', 'nchalla', 'lmaraa', 'jeya', 'terbah', 'sfax', 'hmd', 'rabi']"
1605,ياخي مش فايق بروحو اللي رزين ماسط يعيف,-1,ياخي مش فايق بروحو اللي رزين ماسط يعيف,"['ياخي', 'مش', 'فايق', 'بروحو', 'اللي', 'رزين', 'ماسط', 'يعيف']"
1607,jiboulena ken qahba okhteha,-1,jiboulena ken qahba okhteha,"['jiboulena', 'ken', 'qahba', 'okhteha']"
1608,راجل رجال تونس بلاتو يطرشقهالهم احتراماتي بوحميد,1,راجل رجال تونس بلاتو يطرشقهالهم احتراماتي بوحميد,"['راجل', 'رجال', 'تونس', 'بلاتو', 'يطرشقهالهم', 'احتراماتي', 'بوحميد']"
1609,wallahi maaaaaaaaaaaaaaaaasta,-1,wallahi maaaaaaaaaaaaaaaaasta,"['wallahi', 'maaaaaaaaaaaaaaaaasta']"
1610,تفيه وعليه وعل سامي الفهري,-1,تفيه وعليه وعل سامي الفهري,"['تفيه', 'وعليه', 'وعل', 'سامي', 'الفهري']"
1611,Katheritilha bisarahaa,-1,katheritilha bisarahaa,"['katheritilha', 'bisarahaa']"
1612,والله جعفر القاسمي إنسان ضااامر بشوش انشالله ربي يثبتك فعل الخيرp:,1,والله جعفر القاسمي إنسان ضااامر بشوش انشالله ربي يثبتك فعل الخير,"['والله', 'جعفر', 'القاسمي', 'إنسان', 'ضااامر', 'بشوش', 'انشالله', 'ربي', 'يثبتك', 'فعل', 'الخير']"
1613,ركم كرهتونا هاالبرنامج مالي جبتونا هاالثقيل والتافه شكيب بجاه ربي بعدوه خلينا نتابعو البرنامج ونعملوا .ملي مشات ميه جبتولنا النهضاوي دمو زيت q0 .,-1,ركم كرهتونا هاالبرنامج مالي جبتونا هاالثقيل والتافه شكيب بجاه ربي بعدوه خلينا نتابعو البرنامج ونعملوا ملي مشات ميه جبتولنا النهضاوي دمو زيت,"['ركم', 'كرهتونا', 'هاالبرنامج', 'مالي', 'جبتونا', 'هاالثقيل', 'والتافه', 'شكيب', 'بجاه', 'ربي', 'بعدوه', 'خلينا', 'نتابعو', 'البرنامج', 'ونعملوا', 'ملي', 'مشات', 'ميه', 'جبتولنا', 'النهضاوي', 'دمو', 'زيت']"
1614,نوفل قداه نكرهو,-1,نوفل قداه نكرهو,"['نوفل', 'قداه', 'نكرهو']"
1615,تفوووووووووووه مكش متربي مسخ,-1,تفوووووووووووه مكش متربي مسخ,"['تفوووه', 'مكش', 'متربي', 'مسخ']"
1616,فضحتونا العايلة يعتكم فضحة,-1,فضحتونا العايلة يعتكم فضحة,"['فضحتونا', 'العايلة', 'يعتكم', 'فضحة']"
1618,Mahleek jaafour hab mhalli kaada,1,mahleek jaafour hab mhalli kaada,"['mahleek', 'jaafour', 'hab', 'mhalli', 'kaada']"
1619,يكب سعدو,-1,يكب سعدو,"['يكب', 'سعدو']"
1620,Moihra dima,1,moihra dima,"['moihra', 'dima']"
1621,تففف الصباح !!! لمرى متوفيه,-1,تففف الصباح لمرى متوفيه,"['تففف', 'الصباح', 'لمرى', 'متوفيه']"
1622,yezzi dharbane lougha rana teebna rak haj haj hhhh,-1,yezzi dharbane lougha rana teebna rak haj haj hhhh,"['yezzi', 'dharbane', 'lougha', 'rana', 'teebna', 'rak', 'haj', 'haj', 'hhhh']"
1623,Safi y'a meallem,1,safi ' meallem,"['safi', ""'"", 'meallem']"
1624,ربي يكثر منك الناس,1,ربي يكثر منك الناس,"['ربي', 'يكثر', 'منك', 'الناس']"
1625,تقتل بالضحك,1,تقتل بالضحك,"['تقتل', 'بالضحك']"
1626,Tbarkalla elihom,1,tbarkalla elihom,"['tbarkalla', 'elihom']"
1627,جعغور انسان باهي برشا الناس الكل اتحبو ربي ايخليك جعفور,1,جعغور انسان باهي برشا الناس الكل اتحبو ربي ايخليك جعفور,"['جعغور', 'انسان', 'باهي', 'برشا', 'الناس', 'الكل', 'اتحبو', 'ربي', 'ايخليك', 'جعفور']"
1628,Tbarkala alik wajiha fanana chamla kamla thohka esal,1,tbarkala alik wajiha fanana chamla kamla thohka esal,"['tbarkala', 'alik', 'wajiha', 'fanana', 'chamla', 'kamla', 'thohka', 'esal']"
1629,Wajiha amour <e,1,wajiha amour,"['wajiha', 'amour']"
1631,يمثلني الساحة الوطنية وتعجبني افكاره واراه الشخص الوحيد القادر منصب رئيس الجمهورية..,1,يمثلني الساحة الوطنية وتعجبني افكاره واراه الشخص الوحيد القادر منصب رئيس الجمهورية,"['يمثلني', 'الساحة', 'الوطنية', 'وتعجبني', 'افكاره', 'واراه', 'الشخص', 'الوحيد', 'القادر', 'منصب', 'رئيس', 'الجمهورية']"
1633,أمسط ملايكتو راتش عيني ;;; ناس راو غلّب عليا ::: تمنيت جات عندي قدرة نّحيلو الجنسية التونسية نطيش والديه زيمبابوي خلّيهم يستغلّوا الراس يعملوه دربوكة مأخيب منضروا أمسط ملايكتو,-1,أمسط ملايكتو راتش عيني ناس راو غل عليا تمنيت جات عندي قدرة حيلو الجنسية التونسية نطيش والديه زيمبابوي خل يهم يستغل وا الراس يعملوه دربوكة مأخيب منضروا أمسط ملايكتو,"['أمسط', 'ملايكتو', 'راتش', 'عيني', 'ناس', 'راو', 'غل', 'عليا', 'تمنيت', 'جات', 'عندي', 'قدرة', 'حيلو', 'الجنسية', 'التونسية', 'نطيش', 'والديه', 'زيمبابوي', 'خل', 'يهم', 'يستغل', 'وا', 'الراس', 'يعملوه', 'دربوكة', 'مأخيب', 'منضروا', 'أمسط', 'ملايكتو']"
1634,برنامج تافه كلها تعفط تكذب عشعب أسلوب رديء فلحوار...,-1,برنامج تافه كلها تعفط تكذب عشعب أسلوب رديء فلحوار,"['برنامج', 'تافه', 'كلها', 'تعفط', 'تكذب', 'عشعب', 'أسلوب', 'رديء', 'فلحوار']"
1635,المعتوهة مايا الكسوري والاهبل المسخ لطفي العماري زوز كلاب تنبح طيارة والفاهم يفهم,-1,المعتوهة مايا الكسوري والاهبل المسخ لطفي العماري زوز كلاب تنبح طيارة والفاهم يفهم,"['المعتوهة', 'مايا', 'الكسوري', 'والاهبل', 'المسخ', 'لطفي', 'العماري', 'زوز', 'كلاب', 'تنبح', 'طيارة', 'والفاهم', 'يفهم']"
1636,MASSIT LASSIT,-1,massit lassit,"['massit', 'lassit']"
