,Tweet,target,tokenized_tweet,cleaned_tweet
432,وفقة عفاف كنتمنى 👍👍👍﻿,1,وفقة عفاف كنتمنى,"['وفقة', 'عفاف', 'كنتمنى']"
433,السلام عليكم الأخت الفاضلة عفاف أحييك بتحية الإسلام أعذب الكلام الممزوج بالتقدير الإحترام، أتوقع ماكنت سأرى قبيل مشاهدة الفيديو الرائع أبهرني,1,السلام عليكم الأخت الفاضلة عفاف أحييك بتحية الإسلام أعذب الكلام الممزوج بالتقدير الإحترام أتوقع ماكنت سأرى قبيل مشاهدة الفيديو الرائع أبهرني,"['السلام', 'عليكم', 'الأخت', 'الفاضلة', 'عفاف', 'أحييك', 'بتحية', 'الإسلام', 'أعذب', 'الكلام', 'الممزوج', 'بالتقدير', 'الإحترام', 'أتوقع', 'ماكنت', 'سأرى', 'قبيل', 'مشاهدة', 'الفيديو', 'الرائع', 'أبهرني']"
434,اغنية جميلة,1,اغنية جميلة,"['اغنية', 'جميلة']"
435,تبارك الله الجودة الإتقان العمل صراحة مجهود كبير رائع يشهد متشوقة لرؤية المزيد الفيديوهات إنتظار المزيد القادم أجمل أفضل التوفيق والنجاح الدائم بنت المغرب الحبيب﻿,1,تبارك الله الجودة الإتقان العمل صراحة مجهود كبير رائع يشهد متشوقة لرؤية المزيد الفيديوهات إنتظار المزيد القادم أجمل أفضل التوفيق والنجاح الدائم بنت المغرب الحبيب,"['تبارك', 'الله', 'الجودة', 'الإتقان', 'العمل', 'صراحة', 'مجهود', 'كبير', 'رائع', 'يشهد', 'متشوقة', 'لرؤية', 'المزيد', 'الفيديوهات', 'إنتظار', 'المزيد', 'القادم', 'أجمل', 'أفضل', 'التوفيق', 'والنجاح', 'الدائم', 'بنت', 'المغرب', 'الحبيب']"
436,شريط رائع ابدعي غاليتي .. فتطوان تحتاج شبابها ♥﻿,1,شريط رائع ابدعي غاليتي فتطوان تحتاج شبابها,"['شريط', 'رائع', 'ابدعي', 'غاليتي', 'فتطوان', 'تحتاج', 'شبابها']"
437,جميل جداً أخت عفاف استمري يامبدعه .. حياكم قناتي اشتركوا وشوفوا رحلتي الأخيره جورجيا 😇,1,جميل جدا أخت عفاف استمري يامبدعه حياكم قناتي اشتركوا وشوفوا رحلتي الأخيره جورجيا,"['جميل', 'جدا', 'أخت', 'عفاف', 'استمري', 'يامبدعه', 'حياكم', 'قناتي', 'اشتركوا', 'وشوفوا', 'رحلتي', 'الأخيره', 'جورجيا']"
438,فيديو رائع بالتوفيق﻿,1,فيديو رائع بالتوفيق,"['فيديو', 'رائع', 'بالتوفيق']"
439,تحية لكل الناس الموجودين عندي فالصفحة,1,تحية لكل الناس الموجودين عندي فالصفحة,"['تحية', 'لكل', 'الناس', 'الموجودين', 'عندي', 'فالصفحة']"
440,جمهورنا الحبيب .. سهرة رائعة بكل المقاييس بالمركب التجاري,1,جمهورنا الحبيب سهرة رائعة بكل المقاييس بالمركب التجاري,"['جمهورنا', 'الحبيب', 'سهرة', 'رائعة', 'بكل', 'المقاييس', 'بالمركب', 'التجاري']"
441,تبرك لله بنت بلادي﻿,1,تبرك لله بنت بلادي,"['تبرك', 'لله', 'بنت', 'بلادي']"
442,تعجبني المدينة درجة اتمنى اكمل بقي حياتي قضيت رائعة طيلة دراستي الجامعية,1,تعجبني المدينة درجة اتمنى اكمل بقي حياتي قضيت رائعة طيلة دراستي الجامعية,"['تعجبني', 'المدينة', 'درجة', 'اتمنى', 'اكمل', 'بقي', 'حياتي', 'قضيت', 'رائعة', 'طيلة', 'دراستي', 'الجامعية']"
443,نقاء الصور,1,نقاء الصور,"['نقاء', 'الصور']"
444,ماشاء الله عفاف الغالية إشتقنا تطوان وأهلها مزيداً التألق والإبداع ☺️💜 وفقكِ الله﻿,1,ماشاء الله عفاف الغالية إشتقنا تطوان وأهلها مزيدا التألق والإبداع وفقك الله,"['ماشاء', 'الله', 'عفاف', 'الغالية', 'إشتقنا', 'تطوان', 'وأهلها', 'مزيدا', 'التألق', 'والإبداع', 'وفقك', 'الله']"
445,جمال مدينة تطوان الساحر دائما زمن، المدينة الرائعة بصفاء جوها، بمناظرها الخلابة,1,جمال مدينة تطوان الساحر دائما زمن المدينة الرائعة بصفاء جوها بمناظرها الخلابة,"['جمال', 'مدينة', 'تطوان', 'الساحر', 'دائما', 'زمن', 'المدينة', 'الرائعة', 'بصفاء', 'جوها', 'بمناظرها', 'الخلابة']"
446,شاء ألله﻿,1,شاء ألله,"['شاء', 'ألله']"
447,تبارك الله فيديو رائع بتوفيق باقي اعمالك﻿,1,تبارك الله فيديو رائع بتوفيق باقي اعمالك,"['تبارك', 'الله', 'فيديو', 'رائع', 'بتوفيق', 'باقي', 'اعمالك']"
448,الرياض الجمال العيون المتدفقة بالمياه العذبة. الموسيقى النابعة تطوان الجميلة.,1,الرياض الجمال العيون المتدفقة بالمياه العذبة الموسيقى النابعة تطوان الجميلة,"['الرياض', 'الجمال', 'العيون', 'المتدفقة', 'بالمياه', 'العذبة', 'الموسيقى', 'النابعة', 'تطوان', 'الجميلة']"
449,جميل اختي عفاف حبيت ♡♡﻿,1,جميل اختي عفاف حبيت,"['جميل', 'اختي', 'عفاف', 'حبيت']"
450,فصاحتك اللغة,1,فصاحتك اللغة,"['فصاحتك', 'اللغة']"
451,اجواء ملعب الكامب الخرافية,1,اجواء ملعب الكامب الخرافية,"['اجواء', 'ملعب', 'الكامب', 'الخرافية']"
452,برافو فيديو جميل كجمالك بالتوفيق أختي👌🌷﻿,1,برافو فيديو جميل كجمالك بالتوفيق أختي,"['برافو', 'فيديو', 'جميل', 'كجمالك', 'بالتوفيق', 'أختي']"
453,تحية جميلة الدار البيضاء اجمل مدينة تطوان. احبكم﻿,1,تحية جميلة الدار البيضاء اجمل مدينة تطوان احبكم,"['تحية', 'جميلة', 'الدار', 'البيضاء', 'اجمل', 'مدينة', 'تطوان', 'احبكم']"
454,شكرًا بزاف .. قريت التعاليق أسعدني تفاعلكم ♥️ أسعدكم الله 🌸﻿,1,شكر بزاف قريت التعاليق أسعدني تفاعلكم أسعدكم الله,"['شكر', 'بزاف', 'قريت', 'التعاليق', 'أسعدني', 'تفاعلكم', 'أسعدكم', 'الله']"
455,واصلي اختي انتظار فيديو :)﻿,1,واصلي اختي انتظار فيديو,"['واصلي', 'اختي', 'انتظار', 'فيديو']"
456,حبيبة تبارك الله حمقني الفيديو تطوانية وكنعمل فلوقات وروتينات مبذول فيهم جهد نتمنى تضرب دويرة عندييي.﻿,1,حبيبة تبارك الله حمقني الفيديو تطوانية وكنعمل فلوقات وروتينات مبذول فيهم جهد نتمنى تضرب دويرة عندييي,"['حبيبة', 'تبارك', 'الله', 'حمقني', 'الفيديو', 'تطوانية', 'وكنعمل', 'فلوقات', 'وروتينات', 'مبذول', 'فيهم', 'جهد', 'نتمنى', 'تضرب', 'دويرة', 'عندييي']"
458,ابداغ محترف واختيار راقي للموسيقى يرتقي للعرض اكبر القنوات بالتوفيق دائما وابدا تحية اندلسية طنجاوية,1,ابداغ محترف واختيار راقي للموسيقى يرتقي للعرض اكبر القنوات بالتوفيق دائما وابدا تحية اندلسية طنجاوية,"['ابداغ', 'محترف', 'واختيار', 'راقي', 'للموسيقى', 'يرتقي', 'للعرض', 'اكبر', 'القنوات', 'بالتوفيق', 'دائما', 'وابدا', 'تحية', 'اندلسية', 'طنجاوية']"
459,احترافية فالتصوير بتبات وتنسيق جميل جدا للفيديو انيق حبيت موفقة ❤﻿ ﻿,1,احترافية فالتصوير بتبات وتنسيق جميل جدا للفيديو انيق حبيت موفقة,"['احترافية', 'فالتصوير', 'بتبات', 'وتنسيق', 'جميل', 'جدا', 'للفيديو', 'انيق', 'حبيت', 'موفقة']"
460,أبداعتي ياأختي عفاف﻿,1,أبداعتي ياأختي عفاف,"['أبداعتي', 'ياأختي', 'عفاف']"
461,انجاز رائع مثلك غاليتي﻿,1,انجاز رائع مثلك غاليتي,"['انجاز', 'رائع', 'مثلك', 'غاليتي']"
462,تبرك الله مزيد تألق نشألله طوب طوب,1,تبرك الله مزيد تألق نشألله طوب طوب,"['تبرك', 'الله', 'مزيد', 'تألق', 'نشألله', 'طوب', 'طوب']"
463,تصوير .. إلقاء ... مونتاااج,1,تصوير إلقاء مونتاااج,"['تصوير', 'إلقاء', 'مونتاااج']"
464,ناتجة رائعة شملت جمال صورة الصوت,1,ناتجة رائعة شملت جمال صورة الصوت,"['ناتجة', 'رائعة', 'شملت', 'جمال', 'صورة', 'الصوت']"
465,تحياتي نضيرة صديقة الفايسبوك عفاف 😍﻿,1,تحياتي نضيرة صديقة الفايسبوك عفاف,"['تحياتي', 'نضيرة', 'صديقة', 'الفايسبوك', 'عفاف']"
466,وفقك الله عزيزتي عفاف بداية موفقة، فيديو رائع نتمنى المزيد التألق احبك الله﻿,1,وفقك الله عزيزتي عفاف بداية موفقة فيديو رائع نتمنى المزيد التألق احبك الله,"['وفقك', 'الله', 'عزيزتي', 'عفاف', 'بداية', 'موفقة', 'فيديو', 'رائع', 'نتمنى', 'المزيد', 'التألق', 'احبك', 'الله']"
467,عفاف العريبي الصديقة تستحق التشجيع والدعاء الاستمرارية عالم اليوتيوب والمساهمة الارتقاء بالمحتوى المغربي ..﻿,1,عفاف العريبي الصديقة تستحق التشجيع والدعاء الاستمرارية عالم اليوتيوب والمساهمة الارتقاء بالمحتوى المغربي,"['عفاف', 'العريبي', 'الصديقة', 'تستحق', 'التشجيع', 'والدعاء', 'الاستمرارية', 'عالم', 'اليوتيوب', 'والمساهمة', 'الارتقاء', 'بالمحتوى', 'المغربي']"
468,,1,,[]
469,الروح الرياضيه,1,الروح الرياضيه,"['الروح', 'الرياضيه']"
470,عملاق يعوض,1,عملاق يعوض,"['عملاق', 'يعوض']"
471,حلاوة الدلافين بصحتييك,1,حلاوة الدلافين بصحتييك,"['حلاوة', 'الدلافين', 'بصحتييك']"
472,الإبتسامة 😁,1,الإبتسامة,['الإبتسامة']
473,الله الفرح والسرور,1,الله الفرح والسرور,"['الله', 'الفرح', 'والسرور']"
474,وعندك توريها سعد يبقى يعاتبك تشوفي ولاد ولادوا,1,وعندك توريها سعد يبقى يعاتبك تشوفي ولاد ولادوا,"['وعندك', 'توريها', 'سعد', 'يبقى', 'يعاتبك', 'تشوفي', 'ولاد', 'ولادوا']"
475,شكرا ماسكي,1,شكرا ماسكي,"['شكرا', 'ماسكي']"
476,حلاااااوة😍😍,1,حلاااااوة,['حلاااوة']
477,نعمة تستاهلينها,1,نعمة تستاهلينها,"['نعمة', 'تستاهلينها']"
478,الجمال ....,1,الجمال,['الجمال']
479,اللهم تحرمنا المقام رب.,1,اللهم تحرمنا المقام رب,"['اللهم', 'تحرمنا', 'المقام', 'رب']"
480,شاء الله ربنا يوفقك,1,شاء الله ربنا يوفقك,"['شاء', 'الله', 'ربنا', 'يوفقك']"
481,مبروووك الخير والموفقيه شالله,1,مبروووك الخير والموفقيه شالله,"['مبروووك', 'الخير', 'والموفقيه', 'شالله']"
482,عـَـانَـق طيفُـهُ قلـبـي .,1,عـ ـان ـق طيف ـه قلـبـي,"['عـ', 'ـان', 'ـق', 'طيف', 'ـه', 'قلـبـي']"
483,مبروك حبيبتي,1,مبروك حبيبتي,"['مبروك', 'حبيبتي']"
484,أحيى الأرض الطيّـبة بسُقيـا زمرم .. أحيي قلبـي قلـوبَ العالميـن بسُقـيا حُبّـك,1,أحيى الأرض الطي ـبة بس قيـا زمرم أحيي قلبـي قلـوب العالميـن بس قـيا ـك,"['أحيى', 'الأرض', 'الطي', 'ـبة', 'بس', 'قيـا', 'زمرم', 'أحيي', 'قلبـي', 'قلـوب', 'العالميـن', 'بس', 'قـيا', 'ـك']"
485,مجرد نادي,1,مجرد نادي,"['مجرد', 'نادي']"
486,ربي كبير الحمد لله عنده الخير,1,ربي كبير الحمد لله عنده الخير,"['ربي', 'كبير', 'الحمد', 'لله', 'عنده', 'الخير']"
487,بنادم كحل الراس المشكل,1,بنادم كحل الراس المشكل,"['بنادم', 'كحل', 'الراس', 'المشكل']"
488,الحمد لله الشتا كاينا والعام زين الله يبعد علينا السماسرية,1,الحمد لله الشتا كاينا والعام زين الله يبعد علينا السماسرية,"['الحمد', 'لله', 'الشتا', 'كاينا', 'والعام', 'زين', 'الله', 'يبعد', 'علينا', 'السماسرية']"
489,الحمد لله الأمطار رحمة ... غاتنفع الفقير الغني,1,الحمد لله الأمطار رحمة غاتنفع الفقير الغني,"['الحمد', 'لله', 'الأمطار', 'رحمة', 'غاتنفع', 'الفقير', 'الغني']"
490,مبروك,1,مبروك,['مبروك']
491,تحيا العلامنية يحيا نور العقل .,1,تحيا العلامنية يحيا نور العقل,"['تحيا', 'العلامنية', 'يحيا', 'نور', 'العقل']"
492,تتقدم اوروبا ادخال شيوخ الكنيسة سوق راسهم، وابعادهم السياسة.,1,تتقدم اوروبا ادخال شيوخ الكنيسة سوق راسهم وابعادهم السياسة,"['تتقدم', 'اوروبا', 'ادخال', 'شيوخ', 'الكنيسة', 'سوق', 'راسهم', 'وابعادهم', 'السياسة']"
493,نتمنى للمغرب يحدو حدو تركيا.,1,نتمنى للمغرب يحدو حدو تركيا,"['نتمنى', 'للمغرب', 'يحدو', 'حدو', 'تركيا']"
494,يخطو بثبات اللاعب ♥♥ متاكد سيكون شان كبير .,1,يخطو بثبات اللاعب متاكد سيكون شان كبير,"['يخطو', 'بثبات', 'اللاعب', 'متاكد', 'سيكون', 'شان', 'كبير']"
495,رائع ياحاريت,1,رائع ياحاريت,"['رائع', 'ياحاريت']"
496,تحية طيبة وخالصة استاذ,1,تحية طيبة وخالصة استاذ,"['تحية', 'طيبة', 'وخالصة', 'استاذ']"
497,نعمة الكون تكون مسلما يكفيك رحمة الله ودائما بابه انتظار عودتك,1,نعمة الكون تكون مسلما يكفيك رحمة الله ودائما بابه انتظار عودتك,"['نعمة', 'الكون', 'تكون', 'مسلما', 'يكفيك', 'رحمة', 'الله', 'ودائما', 'بابه', 'انتظار', 'عودتك']"
498,مسلم أفتخر,1,مسلم أفتخر,"['مسلم', 'أفتخر']"
499,مسلمه ومحمد نبيي وافتخر,1,مسلمه ومحمد نبيي وافتخر,"['مسلمه', 'ومحمد', 'نبيي', 'وافتخر']"
500,سورة يوسف أعماق قلبي﻿,1,سورة يوسف أعماق قلبي,"['سورة', 'يوسف', 'أعماق', 'قلبي']"
501,تبارك الله علينا صافي,1,تبارك الله علينا صافي,"['تبارك', 'الله', 'علينا', 'صافي']"
502,المغرب قادرة التاهل للدور بكاس العالم بوصوفا اداء عالمي وتمتلك لاعبين اعلى مستوى عاش المغرب,1,المغرب قادرة التاهل للدور بكاس العالم بوصوفا اداء عالمي وتمتلك لاعبين اعلى مستوى عاش المغرب,"['المغرب', 'قادرة', 'التاهل', 'للدور', 'بكاس', 'العالم', 'بوصوفا', 'اداء', 'عالمي', 'وتمتلك', 'لاعبين', 'اعلى', 'مستوى', 'عاش', 'المغرب']"
503,لاعب فی المستوی,1,لاعب فی المستوی,"['لاعب', 'فی', 'المستوی']"
504,المغرب لاعبين يملكون مهارات وتقنيات عالمية مطمحنا الفوز بكأس العالم,1,المغرب لاعبين يملكون مهارات وتقنيات عالمية مطمحنا الفوز بكأس العالم,"['المغرب', 'لاعبين', 'يملكون', 'مهارات', 'وتقنيات', 'عالمية', 'مطمحنا', 'الفوز', 'بكأس', 'العالم']"
505,الرجاء العالمي فخر الكرة المغربية العربية والإفريقية الكائنات الوردية لهم رأي آخر,1,الرجاء العالمي فخر الكرة المغربية العربية والإفريقية الكائنات الوردية لهم رأي آخر,"['الرجاء', 'العالمي', 'فخر', 'الكرة', 'المغربية', 'العربية', 'والإفريقية', 'الكائنات', 'الوردية', 'لهم', 'رأي', 'آخر']"
506,باه مرضي ولدو داه لبلاد الخير دخلو لاحسن مدرسة,1,باه مرضي ولدو داه لبلاد الخير دخلو لاحسن مدرسة,"['باه', 'مرضي', 'ولدو', 'داه', 'لبلاد', 'الخير', 'دخلو', 'لاحسن', 'مدرسة']"
507,رغم فرحة التأهل رغم مرور تبقى قلوبن,1,رغم فرحة التأهل رغم مرور تبقى قلوبن,"['رغم', 'فرحة', 'التأهل', 'رغم', 'مرور', 'تبقى', 'قلوبن']"
508,شكرا أخي الخبر نشره,1,شكرا أخي الخبر نشره,"['شكرا', 'أخي', 'الخبر', 'نشره']"
509,👈 صعود مستمر نتمنى يستمر الصعود,1,صعود مستمر نتمنى يستمر الصعود,"['صعود', 'مستمر', 'نتمنى', 'يستمر', 'الصعود']"
510,إبن الريف العظيم تحية لأبناء سلوان,1,إبن الريف العظيم تحية لأبناء سلوان,"['إبن', 'الريف', 'العظيم', 'تحية', 'لأبناء', 'سلوان']"
511,مشاء الله الفاتحة بتقليد الشيخ ياسر الدوسري سورة القيامة بتقليد الشيخ. إدريس ابكر,1,مشاء الله الفاتحة بتقليد الشيخ ياسر الدوسري سورة القيامة بتقليد الشيخ إدريس ابكر,"['مشاء', 'الله', 'الفاتحة', 'بتقليد', 'الشيخ', 'ياسر', 'الدوسري', 'سورة', 'القيامة', 'بتقليد', 'الشيخ', 'إدريس', 'ابكر']"
512,تحياتي ادمين هاد المجهود كادير باش تقربنا اللاعيبين ديالنا,1,تحياتي ادمين هاد المجهود كادير باش تقربنا اللاعيبين ديالنا,"['تحياتي', 'ادمين', 'هاد', 'المجهود', 'كادير', 'باش', 'تقربنا', 'اللاعيبين', 'ديالنا']"
513,اشرف يرفع لقب مغربي عالمي رسالة واضحة بانه يرفع لقب روسيا,1,اشرف يرفع لقب مغربي عالمي رسالة واضحة بانه يرفع لقب روسيا,"['اشرف', 'يرفع', 'لقب', 'مغربي', 'عالمي', 'رسالة', 'واضحة', 'بانه', 'يرفع', 'لقب', 'روسيا']"
514,مبروك معرفتش لاش مغاربة كيهرسو ويطيحو بقيمة ولاد بلادهم ويعطو قيمة للبراني,1,مبروك معرفتش لاش مغاربة كيهرسو ويطيحو بقيمة ولاد بلادهم ويعطو قيمة للبراني,"['مبروك', 'معرفتش', 'لاش', 'مغاربة', 'كيهرسو', 'ويطيحو', 'بقيمة', 'ولاد', 'بلادهم', 'ويعطو', 'قيمة', 'للبراني']"
515,الله يخليله والديه ويحفظهم,1,الله يخليله والديه ويحفظهم,"['الله', 'يخليله', 'والديه', 'ويحفظهم']"
516,الله يعافيكم جميعا ..شكرا جزيلا,1,الله يعافيكم جميعا شكرا جزيلا,"['الله', 'يعافيكم', 'جميعا', 'شكرا', 'جزيلا']"
517,أحسن لاعب شالك الاطلاق. محراث بمعنى الكلمة,1,أحسن لاعب شالك الاطلاق محراث بمعنى الكلمة,"['أحسن', 'لاعب', 'شالك', 'الاطلاق', 'محراث', 'بمعنى', 'الكلمة']"
518,محمود الأغا منشور اقراءه اذداد اعجابا تنشر. ربنا يحفظك اينماتكون !!,1,محمود الأغا منشور اقراءه اذداد اعجابا تنشر ربنا يحفظك اينماتكون,"['محمود', 'الأغا', 'منشور', 'اقراءه', 'اذداد', 'اعجابا', 'تنشر', 'ربنا', 'يحفظك', 'اينماتكون']"
519,عائلة جميلة جدا,1,عائلة جميلة جدا,"['عائلة', 'جميلة', 'جدا']"
520,مبروك اختي مريم فرحنا بزاف سلامي لابن الخال,1,مبروك اختي مريم فرحنا بزاف سلامي لابن الخال,"['مبروك', 'اختي', 'مريم', 'فرحنا', 'بزاف', 'سلامي', 'لابن', 'الخال']"
521,اسطورة,1,اسطورة,['اسطورة']
522,تبارك الله حكيمي بالتوفيق,1,تبارك الله حكيمي بالتوفيق,"['تبارك', 'الله', 'حكيمي', 'بالتوفيق']"
523,تفرجت لهاد المقابلة امين حاريث فالمستوى العالي وقدم مبارة رائعة .,1,تفرجت لهاد المقابلة امين حاريث فالمستوى العالي وقدم مبارة رائعة,"['تفرجت', 'لهاد', 'المقابلة', 'امين', 'حاريث', 'فالمستوى', 'العالي', 'وقدم', 'مبارة', 'رائعة']"
524,مزيان هاد الوليد خاص رونار صراحة يدخلو المجموعة كاساسي,1,مزيان هاد الوليد خاص رونار صراحة يدخلو المجموعة كاساسي,"['مزيان', 'هاد', 'الوليد', 'خاص', 'رونار', 'صراحة', 'يدخلو', 'المجموعة', 'كاساسي']"
525,قدم مبارة رائعة دفاعيا هجوميا,1,قدم مبارة رائعة دفاعيا هجوميا,"['قدم', 'مبارة', 'رائعة', 'دفاعيا', 'هجوميا']"
526,تبارك الله ماشاء الله,1,تبارك الله ماشاء الله,"['تبارك', 'الله', 'ماشاء', 'الله']"
527,اشرف فنظري قدم احسن مبارة المباريات لعبها كاملة قطع كورات وحط عرضيات معلم عطى a بيت مستغبهومش لبنزيما لرونالدو,1,اشرف فنظري قدم احسن مبارة المباريات لعبها كاملة قطع كورات وحط عرضيات معلم عطى بيت مستغبهومش لبنزيما لرونالدو,"['اشرف', 'فنظري', 'قدم', 'احسن', 'مبارة', 'المباريات', 'لعبها', 'كاملة', 'قطع', 'كورات', 'وحط', 'عرضيات', 'معلم', 'عطى', 'بيت', 'مستغبهومش', 'لبنزيما', 'لرونالدو']"
528,بجوجهوم زوينين تبارك الله عليهم,1,بجوجهوم زوينين تبارك الله عليهم,"['بجوجهوم', 'زوينين', 'تبارك', 'الله', 'عليهم']"
529,لاعب كبير يحتاج الخدمة الجانب البنيوي,1,لاعب كبير يحتاج الخدمة الجانب البنيوي,"['لاعب', 'كبير', 'يحتاج', 'الخدمة', 'الجانب', 'البنيوي']"
530,أشرف عربي وفخر العرب أولي معجبو بلا مانخسرو الهدرة راه عارف,1,أشرف عربي وفخر العرب أولي معجبو بلا مانخسرو الهدرة راه عارف,"['أشرف', 'عربي', 'وفخر', 'العرب', 'أولي', 'معجبو', 'بلا', 'مانخسرو', 'الهدرة', 'راه', 'عارف']"
531,تبارك الله,1,تبارك الله,"['تبارك', 'الله']"
532,الله اكمل تبارك الله,1,الله اكمل تبارك الله,"['الله', 'اكمل', 'تبارك', 'الله']"
533,شكرا لانك قلت فخر المغرب تقل فخر العرب.. اكبر حسادنا العرب,1,شكرا لانك قلت فخر المغرب تقل فخر العرب اكبر حسادنا العرب,"['شكرا', 'لانك', 'قلت', 'فخر', 'المغرب', 'تقل', 'فخر', 'العرب', 'اكبر', 'حسادنا', 'العرب']"
534,مبروك اتمنى مسار موفق,1,مبروك اتمنى مسار موفق,"['مبروك', 'اتمنى', 'مسار', 'موفق']"
535,تقرير رائع جدا جدا جدا جدا,1,تقرير رائع جدا جدا جدا جدا,"['تقرير', 'رائع', 'جدا', 'جدا', 'جدا', 'جدا']"
536,اعجبتوني بفخر المغرب ماشي بحال شي قوم كايقولو فخر العرب,1,اعجبتوني بفخر المغرب ماشي بحال شي قوم كايقولو فخر العرب,"['اعجبتوني', 'بفخر', 'المغرب', 'ماشي', 'بحال', 'شي', 'قوم', 'كايقولو', 'فخر', 'العرب']"
537,تحراميات ديال لمغاربة فين مشاو سبوعة لعز لولاد بلادي نفتخر بهم جميعاً,1,تحراميات ديال لمغاربة فين مشاو سبوعة لعز لولاد بلادي نفتخر بهم جميعا,"['تحراميات', 'ديال', 'لمغاربة', 'فين', 'مشاو', 'سبوعة', 'لعز', 'لولاد', 'بلادي', 'نفتخر', 'بهم', 'جميعا']"
538,اعتبره جيل ذهبي قادر الطاولة الجميع ليبهر العالم اسود الاطلس,1,اعتبره جيل ذهبي قادر الطاولة الجميع ليبهر العالم اسود الاطلس,"['اعتبره', 'جيل', 'ذهبي', 'قادر', 'الطاولة', 'الجميع', 'ليبهر', 'العالم', 'اسود', 'الاطلس']"
540,إنشاء الله يرجع للمستوى ديالو ....حيت محتاجين لجميع النجوم ديالنا المستقبل .,1,إنشاء الله يرجع للمستوى ديالو حيت محتاجين لجميع النجوم ديالنا المستقبل,"['إنشاء', 'الله', 'يرجع', 'للمستوى', 'ديالو', 'حيت', 'محتاجين', 'لجميع', 'النجوم', 'ديالنا', 'المستقبل']"
541,.حظ سعيد لمستور احسن موهبة كروية مغربية حاريث حكيمي,1,حظ سعيد لمستور احسن موهبة كروية مغربية حاريث حكيمي,"['حظ', 'سعيد', 'لمستور', 'احسن', 'موهبة', 'كروية', 'مغربية', 'حاريث', 'حكيمي']"
542,ميسي المغرب نتمنى عودة موفقة,1,ميسي المغرب نتمنى عودة موفقة,"['ميسي', 'المغرب', 'نتمنى', 'عودة', 'موفقة']"
543,هاد السيد واعر عندو مهارات مكيناش رونالدو عندو السرعة زيرو,1,هاد السيد واعر عندو مهارات مكيناش رونالدو عندو السرعة زيرو,"['هاد', 'السيد', 'واعر', 'عندو', 'مهارات', 'مكيناش', 'رونالدو', 'عندو', 'السرعة', 'زيرو']"
544,انشاء الله اضمن الاساسية الميلان ورجع نجومية,1,انشاء الله اضمن الاساسية الميلان ورجع نجومية,"['انشاء', 'الله', 'اضمن', 'الاساسية', 'الميلان', 'ورجع', 'نجومية']"
545,نجم يستحق مكانة كبار الكالتشيو,1,نجم يستحق مكانة كبار الكالتشيو,"['نجم', 'يستحق', 'مكانة', 'كبار', 'الكالتشيو']"
546,شاء الله .وبالتوفيق استاهل,1,شاء الله وبالتوفيق استاهل,"['شاء', 'الله', 'وبالتوفيق', 'استاهل']"
547,شكرا للمجهود,1,شكرا للمجهود,"['شكرا', 'للمجهود']"
548,اكتر لاعب أحبه واحترمه يلعب داءما القميص الأخ الرائع فيصل فجر أتمنى روناردد يمنح مكانة أساسية لفيصل يستحق دلك,1,اكتر لاعب أحبه واحترمه يلعب داءما القميص الأخ الرائع فيصل فجر أتمنى روناردد يمنح مكانة أساسية لفيصل يستحق دلك,"['اكتر', 'لاعب', 'أحبه', 'واحترمه', 'يلعب', 'داءما', 'القميص', 'الأخ', 'الرائع', 'فيصل', 'فجر', 'أتمنى', 'روناردد', 'يمنح', 'مكانة', 'أساسية', 'لفيصل', 'يستحق', 'دلك']"
549,الله يبارك,1,الله يبارك,"['الله', 'يبارك']"
550,الكابيتانو كبير يابن المغرب بالتوفيق شاء الله,1,الكابيتانو كبير يابن المغرب بالتوفيق شاء الله,"['الكابيتانو', 'كبير', 'يابن', 'المغرب', 'بالتوفيق', 'شاء', 'الله']"
551,الكابيتانو بالتوفيق,1,الكابيتانو بالتوفيق,"['الكابيتانو', 'بالتوفيق']"
552,برافو مهدي الأسد رقم طوب,1,برافو مهدي الأسد رقم طوب,"['برافو', 'مهدي', 'الأسد', 'رقم', 'طوب']"
553,انسان رائع جدا ومميز ومتواضع كنحماق,1,انسان رائع جدا ومميز ومتواضع كنحماق,"['انسان', 'رائع', 'جدا', 'ومميز', 'ومتواضع', 'كنحماق']"
554,اللهم زيد وبارك,1,اللهم زيد وبارك,"['اللهم', 'زيد', 'وبارك']"
555,تاعرابت أحسن لاعب,1,تاعرابت أحسن لاعب,"['تاعرابت', 'أحسن', 'لاعب']"
556,تعرابت وااعر بالله تفارجت فالماتش كايشد الكورة كاتلقا e لاعابة ديال فيورنتينا معاه وهاكاك كايدووزهااا,1,تعرابت وااعر بالله تفارجت فالماتش كايشد الكورة كاتلقا لاعابة ديال فيورنتينا معاه وهاكاك كايدووزهااا,"['تعرابت', 'وااعر', 'بالله', 'تفارجت', 'فالماتش', 'كايشد', 'الكورة', 'كاتلقا', 'لاعابة', 'ديال', 'فيورنتينا', 'معاه', 'وهاكاك', 'كايدووزهااا']"
557,يستحق المنتخب,1,يستحق المنتخب,"['يستحق', 'المنتخب']"
558,المستقبل مشرق شاء الله,1,المستقبل مشرق شاء الله,"['المستقبل', 'مشرق', 'شاء', 'الله']"
559,مزيان,1,مزيان,['مزيان']
